   0.00000000       1.00000000       1.00000000       1.00000000       1.00000000    
  0.100000001       1.51366603       1.50485301       1.51359153       1.50918055    
  0.200000003       1.86700749       1.85183394       1.86689162       1.86035776    
  0.300000012       2.09570289       2.07864952       2.09557295       2.08842397    
  0.400000006       2.22829127       2.21014524       2.22816682       2.22135472    
  0.500000000       2.28753853       2.27195859       2.28743172       2.28151369    
  0.600000024       2.29154658       2.27813411       2.29146361       2.28672457    
  0.699999988       2.25465584       2.24533939       2.25459814       2.25113845    
  0.800000012       2.18817711       2.18205023       2.18814301       2.18594360    
  0.900000036       2.10098529       2.09835505       2.10097051       2.09993839    
   1.00000000       2.00000000       2.00000000       2.00000000       2.00000000    
